total_coordination,water_coordination,protein_coordination,geometry
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
6,2,4,octahedral
6,2,4,octahedral
6,2,4,octahedral
6,2,4,octahedral
7,3,4,pentagonal_bipyramidal
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
6,3,3,octahedral
5,3,2,trigonal_bipyramidal
6,3,3,octahedral
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
7,4,3,pentagonal_bipyramidal
9,4,5,tricapped_trigonal_prismatic
7,3,4,pentagonal_bipyramidal
5,3,2,trigonal_bipyramidal
6,3,3,octahedral
7,3,4,pentagonal_bipyramidal
7,3,4,pentagonal_bipyramidal
6,3,3,octahedral
7,3,4,pentagonal_bipyramidal
7,3,4,pentagonal_bipyramidal
7,3,4,pentagonal_bipyramidal
4,1,3,distorted_tetrahedral
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,5,5,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
8,4,4,square_antiprismatic
9,4,5,tricapped_trigonal_prismatic
8,4,4,square_antiprismatic
8,4,4,square_antiprismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
7,4,3,pentagonal_bipyramidal
8,4,4,square_antiprismatic
7,4,3,pentagonal_bipyramidal
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
7,4,3,pentagonal_bipyramidal
8,4,4,square_antiprismatic
8,4,4,square_antiprismatic
8,4,4,square_antiprismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
8,4,4,square_antiprismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
5,3,2,trigonal_bipyramidal
8,4,4,square_antiprismatic
6,3,3,octahedral
6,3,3,octahedral
9,4,5,tricapped_trigonal_prismatic
7,3,4,pentagonal_bipyramidal
10,4,6,high_coordination_10
7,3,4,pentagonal_bipyramidal
7,3,4,pentagonal_bipyramidal
7,3,4,pentagonal_bipyramidal
7,3,4,pentagonal_bipyramidal
9,4,5,tricapped_trigonal_prismatic
7,2,5,pentagonal_bipyramidal
9,4,5,tricapped_trigonal_prismatic
4,0,4,distorted_tetrahedral
4,0,4,square_planar
4,0,4,square_planar
6,2,4,octahedral
6,2,4,octahedral
4,0,4,square_planar
3,2,1,pyramidal
3,0,3,pyramidal
4,0,4,distorted_tetrahedral
4,0,4,distorted_tetrahedral
6,2,4,octahedral
7,2,5,pentagonal_bipyramidal
6,2,4,octahedral
7,3,4,pentagonal_bipyramidal
6,2,4,octahedral
5,3,2,trigonal_bipyramidal
6,2,4,octahedral
7,3,4,pentagonal_bipyramidal
6,2,4,octahedral
6,2,4,octahedral
4,3,1,distorted_tetrahedral
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
10,4,6,high_coordination_10
10,4,6,high_coordination_10
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
8,4,4,square_antiprismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
8,4,4,square_antiprismatic
7,4,3,pentagonal_bipyramidal
8,4,4,square_antiprismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
10,4,6,high_coordination_10
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
10,4,6,high_coordination_10
9,4,5,tricapped_trigonal_prismatic
10,4,6,high_coordination_10
10,4,6,high_coordination_10
10,4,6,high_coordination_10
10,4,6,high_coordination_10
